image_name,landmark,ground_truth,prediction,pixel_error,normalized_error
IDRiD_003,Optic Disc,"(1101.0, 1374.0)","(1142.7, 1490.0)",123.31,0.02395
IDRiD_014,Optic Disc,"(816.0, 1636.0)","(770.5, 1624.8)",46.82,0.0091
IDRiD_103,Optic Disc,"(2806.0, 1640.0)","(2811.5, 1596.4)",43.97,0.00854
IDRiD_058,Optic Disc,"(2810.0, 1370.0)","(2815.6, 1327.3)",43.03,0.00836
IDRiD_055,Optic Disc,"(647.0, 1644.0)","(607.7, 1628.9)",42.13,0.00818
IDRiD_087,Optic Disc,"(3020.0, 1261.0)","(3018.3, 1227.0)",34.08,0.00662
IDRiD_071,Optic Disc,"(1337.0, 1460.0)","(1338.1, 1427.6)",32.46,0.0063
IDRiD_077,Optic Disc,"(2986.0, 1644.0)","(3011.0, 1623.8)",32.15,0.00625
IDRiD_045,Optic Disc,"(846.0, 1284.0)","(866.7, 1260.0)",31.68,0.00615
IDRiD_054,Optic Disc,"(2851.0, 1408.0)","(2877.2, 1392.6)",30.44,0.00591
IDRiD_053,Fovea,"(2337.0, 1677.0)","(1975.1, 2326.3)",743.34,0.1444
IDRiD_015,Fovea,"(1955.0, 1576.0)","(1913.7, 1752.4)",181.14,0.03519
IDRiD_017,Fovea,"(2026.0, 1644.0)","(1974.4, 1486.4)",165.8,0.03221
IDRiD_102,Fovea,"(2356.0, 1745.0)","(2278.5, 1626.4)",141.65,0.02752
IDRiD_021,Fovea,"(2011.0, 1670.0)","(2147.0, 1692.7)",137.84,0.02678
IDRiD_003,Fovea,"(2566.0, 1591.0)","(2447.9, 1530.4)",132.74,0.02579
IDRiD_007,Fovea,"(2315.0, 1505.0)","(2210.3, 1459.0)",114.33,0.02221
IDRiD_091,Fovea,"(1712.0, 1468.0)","(1811.2, 1424.4)",108.32,0.02104
IDRiD_042,Fovea,"(1708.0, 1584.0)","(1612.7, 1590.4)",95.54,0.01856
IDRiD_032,Fovea,"(1502.0, 1543.0)","(1574.6, 1492.2)",88.63,0.01722
